,trans_date,data
ef1bcca724f3,1/1/2016,266648.9245
ef1bcca724f3,1/2/2016,330109.9613
ef1bcca724f3,1/3/2016,248299.8272
ef1bcca724f3,1/4/2016,146428.3396
ef1bcca724f3,1/5/2016,146854.8155
ef1bcca724f3,1/6/2016,154564.6557
ef1bcca724f3,1/7/2016,187211.7593
ef1bcca724f3,1/8/2016,266469.2424
ef1bcca724f3,1/9/2016,356101.4444
ef1bcca724f3,1/10/2016,242025.3676
ef1bcca724f3,1/11/2016,140017.2347
ef1bcca724f3,1/12/2016,155751.4576
ef1bcca724f3,1/13/2016,165803.6241
ef1bcca724f3,1/14/2016,181571.8788
ef1bcca724f3,1/15/2016,274391.9689
ef1bcca724f3,1/16/2016,349150.4298
ef1bcca724f3,1/17/2016,261354.9341
ef1bcca724f3,1/18/2016,202416.8823
ef1bcca724f3,1/19/2016,142509.3172
ef1bcca724f3,1/20/2016,164989.1978
ef1bcca724f3,1/21/2016,169350.442
ef1bcca724f3,1/22/2016,254538.3542
ef1bcca724f3,1/23/2016,290884.3185
ef1bcca724f3,1/24/2016,234068.165
ef1bcca724f3,1/25/2016,137954.3092
ef1bcca724f3,1/26/2016,152434.2944
ef1bcca724f3,1/27/2016,158592.514
ef1bcca724f3,1/28/2016,188631.1585
ef1bcca724f3,1/29/2016,291549.2394
ef1bcca724f3,1/30/2016,366033.2538
ef1bcca724f3,1/31/2016,284086.2774
ef1bcca724f3,2/1/2016,101205.8066
ef1bcca724f3,2/2/2016,146837.0688
ef1bcca724f3,2/3/2016,132990.3064
ef1bcca724f3,2/4/2016,199992.777
ef1bcca724f3,2/5/2016,277858.8228
ef1bcca724f3,2/6/2016,359508.4572
ef1bcca724f3,2/7/2016,163531.3289
ef1bcca724f3,2/8/2016,140322.1592
ef1bcca724f3,2/9/2016,151840.0884
ef1bcca724f3,2/10/2016,171064.2886
ef1bcca724f3,2/11/2016,179975.8087
ef1bcca724f3,2/12/2016,294346.5765
ef1bcca724f3,2/13/2016,416782.9744
ef1bcca724f3,2/14/2016,468057.4276
ef1bcca724f3,2/15/2016,215741.6717
ef1bcca724f3,2/16/2016,162666.8706
ef1bcca724f3,2/17/2016,166966.6713
ef1bcca724f3,2/18/2016,177414.9505
ef1bcca724f3,2/19/2016,265542.871
ef1bcca724f3,2/20/2016,372642.2914
ef1bcca724f3,2/21/2016,270253.7532
ef1bcca724f3,2/22/2016,148262.344
ef1bcca724f3,2/23/2016,146995.0028
ef1bcca724f3,2/24/2016,163221.8208
ef1bcca724f3,2/25/2016,205931.5758
ef1bcca724f3,2/26/2016,320086.0015
ef1bcca724f3,2/27/2016,373324.7412
ef1bcca724f3,2/28/2016,277619.9008
ef1bcca724f3,2/29/2016,121942.9455
ef1bcca724f3,3/1/2016,165465.3512
ef1bcca724f3,3/2/2016,162232.3795
ef1bcca724f3,3/3/2016,202885.7665
ef1bcca724f3,3/4/2016,295197.5732
ef1bcca724f3,3/5/2016,347508.9314
ef1bcca724f3,3/6/2016,276152.3893
ef1bcca724f3,3/7/2016,152323.5712
ef1bcca724f3,3/8/2016,153570.7351
ef1bcca724f3,3/9/2016,174586.1775
ef1bcca724f3,3/10/2016,213098.3961
ef1bcca724f3,3/11/2016,287475.9934
ef1bcca724f3,3/12/2016,393371.9245
ef1bcca724f3,3/13/2016,304473.6852
ef1bcca724f3,3/14/2016,146315.0006
ef1bcca724f3,3/15/2016,180736.7596
ef1bcca724f3,3/16/2016,180743.9137
ef1bcca724f3,3/17/2016,206121.1691
ef1bcca724f3,3/18/2016,318497.2078
ef1bcca724f3,3/19/2016,351568.2119
ef1bcca724f3,3/20/2016,287216.3644
ef1bcca724f3,3/21/2016,177495.3362
ef1bcca724f3,3/22/2016,193184.9036
ef1bcca724f3,3/23/2016,185828.5933
ef1bcca724f3,3/24/2016,228997.6416
ef1bcca724f3,3/25/2016,304374.3298
