symbol,period,period_start_dt,ptd_end_dt,reported_sales
ef1bcca724f3,2016Q4,2/29/2016,5/29/2016,1790.2
ef1bcca724f3,2017Q1,5/30/2016,8/28/2016,1714.4
ef1bcca724f3,2017Q2,8/29/2016,11/27/2016,1642.5
ef1bcca724f3,2017Q3,11/28/2016,2/26/2017,1878.7
ef1bcca724f3,2017Q4,2/27/2017,5/28/2017,1934.6
ef1bcca724f3,2018Q1,5/29/2017,8/27/2017,1936.1
ef1bcca724f3,2018Q2,8/28/2017,11/26/2017,1881.5
ef1bcca724f3,2018Q3,11/27/2017,2/25/2018,2128.4
ef1bcca724f3,2018Q4,2/26/2018,5/27/2018,2134.1
ef1bcca724f3,2019Q1,5/28/2018,8/26/2018,2061.4
ef1bcca724f3,2019Q2,8/27/2018,11/25/2018,1973.4
ef1bcca724f3,2019Q3,11/26/2018,2/24/2019,2246.5
ef1bcca724f3,2019Q4,2/25/2019,5/26/2019,2229.1
ef1bcca724f3,2020Q1,5/27/2019,8/25/2019,2133.9
ef1bcca724f3,2020Q2,8/26/2019,11/24/2019,2056.4
ef1bcca724f3,2020Q3,11/25/2019,2/23/2020,2346.5
ef1bcca724f3,2020Q4,2/24/2020,5/31/2020,1270.1
ef1bcca724f3,2021Q1,6/1/2020,8/30/2020,1527.4
ef1bcca724f3,2021Q2,8/31/2020,11/29/2020,1656.5
ef1bcca724f3,2021Q3,11/30/2020,2/28/2021,1733
ef1bcca724f3,2021Q4,3/1/2021,5/30/2021,2279.2
ef1bcca724f3,2022Q1,5/31/2021,8/29/2021,2306
ef1bcca724f3,2022Q2,8/30/2021,11/28/2021,2272.2
ef1bcca724f3,2022Q3,11/29/2021,2/27/2022,2448.9
ef1bcca724f3,2022Q4,2/28/2022,5/29/2022,2602.9
ef1bcca724f3,2023Q1,5/30/2022,8/28/2022,2446.1
22328d65a8ae,2017Q1,1/31/2016,4/30/2016,282.092
22328d65a8ae,2017Q2,5/1/2016,7/30/2016,206.933
22328d65a8ae,2017Q3,7/31/2016,10/29/2016,237.006
22328d65a8ae,2017Q4,10/30/2016,1/28/2017,246.929
22328d65a8ae,2018Q1,1/29/2017,4/29/2017,275.688
22328d65a8ae,2018Q2,4/30/2017,7/29/2017,187.958
22328d65a8ae,2018Q3,7/30/2017,10/28/2017,237.834
22328d65a8ae,2018Q4,10/29/2017,2/3/2018,266.738
22328d65a8ae,2019Q1,2/4/2018,5/5/2018,274.707
22328d65a8ae,2019Q2,5/6/2018,8/4/2018,211.123
22328d65a8ae,2019Q3,8/5/2018,11/3/2018,216.888
22328d65a8ae,2019Q4,11/4/2018,2/2/2019,305.964
22328d65a8ae,2020Q1,2/3/2019,5/4/2019,343.295
22328d65a8ae,2020Q2,5/5/2019,8/3/2019,252.44
22328d65a8ae,2020Q3,8/4/2019,11/2/2019,275.475
22328d65a8ae,2020Q4,11/3/2019,2/1/2020,313.024
22328d65a8ae,2021Q1,2/2/2020,5/2/2020,269.837
22328d65a8ae,2021Q2,5/3/2020,8/1/2020,441.607
22328d65a8ae,2021Q3,8/2/2020,10/31/2020,331.383
22328d65a8ae,2021Q4,11/1/2020,1/30/2021,376.83
22328d65a8ae,2022Q1,1/31/2021,5/1/2021,506.861
22328d65a8ae,2022Q2,5/2/2021,7/31/2021,419.257
